StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Population2010,Lat,Lon,Walk Score
CA,Los Angeles,0644000-06037190902,644000,6037190902,30.2,3960,34.0943950467,-118.31901303,86
CA,Stockton,0675000-06077003305,675000,6077003305,26.2,3704,38.0019053412,-121.307265093,69
CA,Corona,0616350-06065048200,616350,6065048200,24.7,4301,33.888934791,-117.540737279,7
CA,Los Angeles,0644000-06037211122,644000,6037211122,24.8,3075,34.0726793937,-118.289223419,91
CA,San Francisco,0667000-06075010700,667000,6075010700,14.8,5592,37.7985139858,-122.410046646,100
CA,Los Angeles,0644000-06037199110,644000,6037199110,29.0,2710,34.0793616083,-118.197403908,27
CA,Chula Vista,0613392-06073012900,613392,6073012900,25.2,3374,32.6274203123,-117.067603902,60
CA,Long Beach,0643000-06037571800,643000,6037571800,20.4,3190,33.8338498947,-118.197207556,51
CA,Santa Ana,0669000-06059074701,669000,6059074701,28.8,8346,33.7309169673,-117.89551245,54
CA,Fremont,0626000-06001441927,626000,6001441927,13.0,4103,37.5465021171,-121.976577005,80
CA,Los Angeles,0644000-06037267902,644000,6037267902,19.4,3375,34.0475521969,-118.420198157,65
CA,Antioch,0602252-06013355109,602252,6013355109,29.8,6416,37.9762527602,-121.794017649,19
CA,Roseville,0662938-06061022600,662938,6061022600,22.7,4840,38.7796448786,-121.286281979,71
CA,Los Angeles,0644000-06037234200,644000,6037234200,31.1,2376,34.0164074473,-118.331152283,70
CA,Fullerton,0628000-06059011503,628000,6059011503,18.0,1727,33.8793825678,-117.893411571,59
CA,Chino,0613210-06071001704,613210,6071001704,28.0,299,34.0311671054,-117.661876503,40
CA,Irvine,0636770-06059075515,636770,6059075515,16.5,3114,33.6908641043,-117.843954538,37
CA,Fresno,0627000-06019003808,627000,6019003808,25.8,3895,36.767354277,-119.872420655,33
CA,Chico,0613014-06007000901,613014,6007000901,21.7,1745,39.7235271863,-121.781409059,0
CA,El Cajon,0621712-06073016401,621712,6073016401,24.0,3770,32.8124713464,-116.926474748,58
CA,Whittier,0685292-06037501804,685292,6037501804,31.3,2131,33.9698820344,-118.034920842,89
CA,Fremont,0626000-06001441602,626000,6001441602,19.8,6802,37.5569601919,-122.021234401,63
CA,Indio,0636448-06065045606,636448,6065045606,26.6,379,33.6782209662,-116.233831053,22
CA,Oakland,0653000-06001405401,653000,6001405401,23.8,3957,37.796538424,-122.249456214,93
CA,Pomona,0658072-06037402301,658072,6037402301,28.7,5454,34.0680437291,-117.770076906,44
CA,Fresno,0627000-06019001411,627000,6019001411,27.0,4006,36.7431895362,-119.690895629,36
CA,Carson,0611530-06037543306,611530,6037543306,21.8,7214,33.834494386,-118.243090625,50
CA,Santa Clarita,0669088-06037920038,669088,6037920038,27.4,4430,34.4236630613,-118.446966806,46
CA,Redding,0659920-06089010806,659920,6089010806,27.2,2545,40.6301978883,-122.377247946,17
CA,San Diego,0666000-06073004200,666000,6073004200,21.5,5673,32.7293170367,-117.119426043,52
CA,Hemet,0633182-06065043306,633182,6065043306,28.5,4538,33.7332577449,-116.999665666,23
CA,Los Angeles,0644000-06037120105,644000,6037120105,29.4,2812,34.2310706738,-118.446532378,73
CA,Sunnyvale,0677000-06085504805,677000,6085504805,21.5,5294,37.4031482124,-122.003384652,46
CA,Vista,0682996-06073020017,682996,6073020017,24.8,1261,33.1461211773,-117.22525954,31
CA,Long Beach,0643000-06037570303,643000,6037570303,31.8,4247,33.8599429061,-118.191912208,63
CA,Concord,0616000-06013355304,616000,6013355304,25.3,1697,37.9574964046,-121.942185833,26
CA,Oakland,0653000-06001408100,653000,6001408100,20.3,5991,37.785376267,-122.157477586,5
CA,Los Angeles,0644000-06037102107,644000,6037102107,24.9,3851,34.24047302,-118.338008066,0
CA,Lancaster,0640130-06037900201,640130,6037900201,29.6,52,34.6766637357,-118.006656893,0
