StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon,Walk Score
AZ,Tucson,0477000-04019004053,477000,4019004053,22.2,32.26039503,-110.8095857,20
AZ,Tucson,0477000-04019000500,477000,4019000500,19.8,32.2300552,-110.9526249,82
AZ,Yuma,0485540-04027000800,485540,4027000800,32,32.69142057,-114.6323303,70
AZ,Phoenix,0455000-04013111203,455000,4013111203,29.9,33.45341335,-111.9746086,30
AZ,Peoria,0454050-04013617500,454050,4013617500,23.4,33.64487429,-112.2569,45
AZ,Gilbert,0427400-04013422621,427400,4013422621,25.3,33.37175145,-111.7138067,27
AZ,Mesa,0446000-04013421400,446000,4013421400,32,33.41510478,-111.83143,80
AZ,Glendale,0427820-04013071511,427820,4013071511,25.2,33.63080847,-112.2090954,24
AZ,Gilbert,0427400-04013422636,427400,4013422636,22.6,33.38243002,-111.7235695,53
AZ,Peoria,0454050-04013071914,454050,4013071914,33.6,33.57421863,-112.2159325,32
AZ,Phoenix,0455000-04013082002,455000,4013082002,32,33.50100447,-112.2812997,26
AZ,Phoenix,0455000-04013108901,455000,4013108901,33.5,33.49810459,-112.0908447,75
AZ,Phoenix,0455000-04013111402,455000,4013111402,32.9,33.47306694,-111.9998735,50
AZ,Tucson,0477000-04019004506,477000,4019004506,33.8,32.31036247,-111.038031,15
AZ,Phoenix,0455000-04013616800,455000,4013616800,27.1,33.66191086,-112.0570746,45
AZ,Phoenix,0455000-04013612000,455000,4013612000,22.1,33.7814348,-112.089685,0
AZ,Phoenix,0455000-04013112302,455000,4013112302,37.2,33.47689806,-112.1602715,35
AZ,Tucson,0477000-04019002703,477000,4019002703,27.6,32.26412305,-110.9493709,72
AZ,Tempe,0473000-04013319703,473000,4013319703,27.5,33.38521106,-111.9697455,59
AZ,Phoenix,0455000-04013108200,455000,4013108200,26,33.50016813,-111.9888833,71
AZ,Tucson,0477000-04019004411,477000,4019004411,23,32.22709211,-111.0273738,14
AZ,Phoenix,0455000-04013611600,455000,4013611600,23.8,33.72007069,-112.1508334,7
AZ,Tucson,0477000-04019004073,477000,4019004073,25.6,32.11661662,-110.8202605,2
AZ,Tucson,0477000-04019002906,477000,4019002906,22.9,32.26657074,-110.8890419,35
AZ,Yuma,0485540-04027000700,485540,4027000700,37.8,32.69098052,-114.6163257,76
AZ,Tempe,0473000-04013319402,473000,4013319402,23.5,33.38583164,-111.900434,30
AZ,Phoenix,0455000-04013617000,455000,4013617000,25.7,33.66650571,-112.0224748,31
AZ,Tucson,0477000-04019002901,477000,4019002901,30.3,32.25066289,-110.9011702,80
AZ,Chandler,0412000-04013814100,412000,4013814100,25.1,33.21195628,-111.7639992,18
AZ,Yuma,0485540-04027000901,485540,4027000901,30.9,32.69093347,-114.6451983,46
AZ,Phoenix,0455000-04013109200,455000,4013109200,39.3,33.5021973,-112.1429058,37
AZ,Surprise,0471510-04013061027,471510,4013061027,26.6,33.63148328,-112.4017435,17
AZ,Phoenix,0455000-04013103615,455000,4013103615,37.2,33.59224686,-112.0821225,3
AZ,Phoenix,0455000-04013108302,455000,4013108302,24.9,33.49886195,-112.004177,70
AZ,Chandler,0412000-04013813500,412000,4013813500,23.3,33.22624399,-111.801328,19
AZ,Phoenix,0455000-04013103304,455000,4013103304,36.4,33.63345404,-112.016688,63
AZ,Peoria,0454050-04013071512,454050,4013071512,25,33.60291404,-112.2289092,30
AZ,Phoenix,0455000-04013103611,455000,4013103611,23.9,33.62654141,-112.0562632,4
AZ,Mesa,0446000-04013420104,446000,4013420104,25,33.42975687,-111.6597273,10
AZ,Glendale,0427820-04013092500,427820,4013092500,31.2,33.54579577,-112.1774088,63
