StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon,Walk Score
CA,Los Angeles,0644000-06037190902,644000,6037190902,30.2,34.09439505,-118.319013,86
CA,Stockton,0675000-06077003305,675000,6077003305,26.2,38.00190534,-121.3072651,69
CA,Corona,0616350-06065048200,616350,6065048200,24.7,33.88893479,-117.5407373,7
CA,Los Angeles,0644000-06037211122,644000,6037211122,24.8,34.07267939,-118.2892234,91
CA,San Francisco,0667000-06075010700,667000,6075010700,14.8,37.79851399,-122.4100466,100
CA,Los Angeles,0644000-06037199110,644000,6037199110,29,34.07936161,-118.1974039,27
CA,Chula Vista,0613392-06073012900,613392,6073012900,25.2,32.62742031,-117.0676039,60
CA,Long Beach,0643000-06037571800,643000,6037571800,20.4,33.83384989,-118.1972076,51
CA,Santa Ana,0669000-06059074701,669000,6059074701,28.8,33.73091697,-117.8955125,54
CA,Fremont,0626000-06001441927,626000,6001441927,13,37.54650212,-121.976577,80
CA,Los Angeles,0644000-06037267902,644000,6037267902,19.4,34.0475522,-118.4201982,65
CA,Antioch,0602252-06013355109,602252,6013355109,29.8,37.97625276,-121.7940176,19
CA,Roseville,0662938-06061022600,662938,6061022600,22.7,38.77964488,-121.286282,71
CA,Los Angeles,0644000-06037234200,644000,6037234200,31.1,34.01640745,-118.3311523,70
CA,Fullerton,0628000-06059011503,628000,6059011503,18,33.87938257,-117.8934116,59
CA,Chino,0613210-06071001704,613210,6071001704,28,34.03116711,-117.6618765,40
CA,Irvine,0636770-06059075515,636770,6059075515,16.5,33.6908641,-117.8439545,37
CA,Fresno,0627000-06019003808,627000,6019003808,25.8,36.76735428,-119.8724207,33
CA,Chico,0613014-06007000901,613014,6007000901,21.7,39.72352719,-121.7814091,0
CA,El Cajon,0621712-06073016401,621712,6073016401,24,32.81247135,-116.9264747,58
CA,Whittier,0685292-06037501804,685292,6037501804,31.3,33.96988203,-118.0349208,89
CA,Fremont,0626000-06001441602,626000,6001441602,19.8,37.55696019,-122.0212344,63
CA,Indio,0636448-06065045606,636448,6065045606,26.6,33.67822097,-116.2338311,22
CA,Oakland,0653000-06001405401,653000,6001405401,23.8,37.79653842,-122.2494562,93
CA,Pomona,0658072-06037402301,658072,6037402301,28.7,34.06804373,-117.7700769,44
CA,Fresno,0627000-06019001411,627000,6019001411,27,36.74318954,-119.6908956,36
CA,Carson,0611530-06037543306,611530,6037543306,21.8,33.83449439,-118.2430906,50
CA,Santa Clarita,0669088-06037920038,669088,6037920038,27.4,34.42366306,-118.4469668,46
CA,Redding,0659920-06089010806,659920,6089010806,27.2,40.63019789,-122.3772479,17
CA,San Diego,0666000-06073004200,666000,6073004200,21.5,32.72931704,-117.119426,52
CA,Hemet,0633182-06065043306,633182,6065043306,28.5,33.73325774,-116.9996657,23
CA,Los Angeles,0644000-06037120105,644000,6037120105,29.4,34.23107067,-118.4465324,73
CA,Sunnyvale,0677000-06085504805,677000,6085504805,21.5,37.40314821,-122.0033847,46
CA,Vista,0682996-06073020017,682996,6073020017,24.8,33.14612118,-117.2252595,31
