StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon,Walk Score
CO,Fort Collins,0827425-08069000201,827425,8069000201,19.1,40.58214886,-105.0896764,72
CO,Pueblo,0862000-08101001100,862000,8101001100,37.2,38.27316379,-104.5762486,36
CO,Loveland,0846465-08069002007,846465,8069002007,21.6,40.38971115,-105.0835338,5
CO,Centennial,0812815-08005006711,812815,8005006711,19.2,39.60212863,-104.9132676,29
CO,Greeley,0832155-08123001410,832155,8123001410,21.6,40.41438464,-104.7455234,36
CO,Denver,0820000-08031003203,820000,8031003203,14.3,39.72229723,-104.9659994,61
CO,Denver,0820000-08031002402,820000,8031002402,20.5,39.74989625,-104.9754589,93
CO,Boulder,0807850-08013012501,807850,8013012501,14.8,39.98883536,-105.2236965,25
CO,Thornton,0877290-08001008533,877290,8001008533,21.6,39.89143373,-104.94747,41
CO,Denver,0820000-08031000600,820000,8031000600,19.8,39.75219204,-105.0192315,83
CO,Aurora,0804000-08005007106,804000,8005007106,20.9,39.61819282,-104.679322,0
CO,Westminster,0883835-08001009604,883835,8001009604,28.4,39.83154539,-105.0379648,69
CO,Colorado Springs,0816000-08041003702,816000,8041003702,19.3,38.93786557,-104.8560018,0
CO,Colorado Springs,0816000-08041006100,816000,8041006100,30.8,38.8327594,-104.7524587,71
CO,Colorado Springs,0816000-08041005601,816000,8041005601,22.1,38.89231587,-104.7299311,43
CO,Fort Collins,0827425-08069001007,827425,8069001007,19.5,40.53110083,-105.0680264,43
CO,Boulder,0807850-08013012103,807850,8013012103,14.8,40.04439608,-105.2657463,26
CO,Denver,0820000-08031001000,820000,8031001000,27.1,39.71717169,-105.0152229,61
CO,Denver,0820000-08031002802,820000,8031002802,16.2,39.71773671,-104.9841763,87
CO,Lakewood,0843000-08059011702,843000,8059011702,20.2,39.68938105,-105.0909182,44
CO,Westminster,0883835-08001009603,883835,8001009603,25.5,39.84166005,-105.046073,60
CO,Denver,0820000-08031001302,820000,8031001302,23.1,39.70308509,-105.0034354,64
CO,Colorado Springs,0816000-08041006700,816000,8041006700,22.5,38.86449378,-104.8877168,12
CO,Fort Collins,0827425-08069001608,827425,8069001608,17.2,40.49613801,-105.0161197,1
CO,Lakewood,0843000-08059011100,843000,8059011100,22.7,39.73284741,-105.0955394,56
CO,Colorado Springs,0816000-08041006400,816000,8041006400,28.9,38.80064086,-104.7505122,56
CO,Centennial,0812815-08005006854,812815,8005006854,20.7,39.60435046,-104.8249819,8
CO,Denver,0820000-08031008388,820000,8031008388,21.4,39.78617475,-104.7914534,6
CO,Denver,0820000-08031002000,820000,8031002000,16,39.7353736,-104.9911972,97
CO,Longmont,0845970-08013013506,845970,8013013506,17.1,40.19590656,-105.0836126,9
CO,Fort Collins,0827425-08069001114,827425,8069001114,17.6,40.51159983,-105.0987126,0
CO,Fort Collins,0827425-08069001304,827425,8069001304,29.5,40.60499048,-105.0818922,30
CO,Centennial,0812815-08005005631,812815,8005005631,19.8,39.57350172,-104.9664959,47
CO,Aurora,0804000-08005007104,804000,8005007104,21,39.69636491,-104.7302651,0
CO,Centennial,0812815-08005005628,812815,8005005628,20.9,39.58779901,-104.9321962,46
CO,Colorado Springs,0816000-08041001302,816000,8041001302,24.2,38.85646995,-104.8543926,19
CO,Centennial,0812815-08005006815,812815,8005006815,19.5,39.58991659,-104.8724939,29
CO,Colorado Springs,0816000-08041000500,816000,8041000500,23.7,38.86489081,-104.8120245,72
CO,Denver,0820000-08031001301,820000,8031001301,22.7,39.70411319,-105.0182005,58
CO,Colorado Springs,0816000-08041005104,816000,8041005104,21.6,38.88513154,-104.6472755,0
CO,Thornton,0877290-08001008541,877290,8001008541,23.6,39.96962957,-104.9021593,1
CO,Aurora,0804000-08005083200,804000,8005083200,21.9,39.64554483,-104.7306075,40
CO,Aurora,0804000-08001008100,804000,8001008100,22,39.74701004,-104.837016,38
CO,Thornton,0877290-08001009318,877290,8001009318,30,39.85807061,-105.0012584,32
CO,Thornton,0877290-08001008545,877290,8001008545,23.7,39.93519383,-104.9518021,23
CO,Colorado Springs,0816000-08041006501,816000,8041006501,29.4,38.80084067,-104.7373681,52
CO,Boulder,0807850-08013012507,807850,8013012507,14.3,39.99189804,-105.250621,59
CO,Fort Collins,0827425-08069001307,827425,8069001307,17.6,40.60358896,-105.0279822,0
CO,Loveland,0846465-08069001808,846465,8069001808,18.7,40.39827082,-105.1427646,17
CO,Colorado Springs,0816000-08041004501,816000,8041004501,29.5,38.78836576,-104.7755923,8
CO,Aurora,0804000-08005084500,804000,8005084500,23.4,39.65609442,-104.7851296,45
CO,Colorado Springs,0816000-08041005400,816000,8041005400,28.7,38.80223179,-104.7640557,51
CO,Denver,0820000-08031000201,820000,8031000201,20.7,39.78750635,-105.0117672,61
CO,Denver,0820000-08031004304,820000,8031004304,16.7,39.73285814,-104.9129517,69
CO,Loveland,0846465-08069002010,846465,8069002010,19.3,40.3883972,-105.1519275,0
CO,Denver,0820000-08031003002,820000,8031003002,15,39.67313222,-104.9805429,71
CO,Longmont,0845970-08013013213,845970,8013013213,15.3,40.15176692,-105.1647087,30
CO,Denver,0820000-08031006813,820000,8031006813,20.2,39.66814544,-104.8712557,67
CO,Greeley,0832155-08123000300,832155,8123000300,15.9,40.40277483,-104.7016135,54
CO,Denver,0820000-08031000303,820000,8031000303,16,39.76396647,-105.0323023,91
CO,Centennial,0812815-08005085800,812815,8005085800,22.9,39.63172141,-104.7585534,45
CO,Denver,0820000-08031004504,820000,8031004504,26.6,39.70777499,-105.0468182,61
CO,Centennial,0812815-08005005635,812815,8005005635,19.4,39.60262908,-104.9326939,29
CO,Denver,0820000-08031002701,820000,8031002701,16.2,39.73603518,-104.9836454,95
CO,Colorado Springs,0816000-08041005800,816000,8041005800,22.4,38.87574749,-104.7330255,28
CO,Colorado Springs,0816000-08041004800,816000,8041004800,24.2,38.90982454,-104.7736652,72
CO,Colorado Springs,0816000-08041008000,816000,8041008000,24.2,38.88777351,-104.8412858,34
CO,Arvada,0803455-08059009839,803455,8059009839,19.1,39.81985723,-105.1578531,29
CO,Denver,0820000-08031000302,820000,8031000302,15.6,39.76393047,-105.0462665,76
CO,Aurora,0804000-08005080700,804000,8005080700,26.1,39.68931902,-104.8380619,45
CO,Fort Collins,0827425-08069000100,827425,8069000100,19.5,40.58585263,-105.0763227,93
CO,Thornton,0877290-08001008540,877290,8001008540,22.3,39.93905837,-104.9052399,11
CO,Aurora,0804000-08005080100,804000,8005080100,27.3,39.70023093,-104.8580599,64
CO,Colorado Springs,0816000-08041001500,816000,8041001500,25.8,38.8405654,-104.8358914,49
CO,Thornton,0877290-08001009203,877290,8001009203,28.6,39.8707115,-104.9826232,61
CO,Thornton,0877290-08001008529,877290,8001008529,24.4,39.92159654,-104.964259,44
CO,Fort Collins,0827425-08069001008,827425,8069001008,17.4,40.53014762,-105.0495707,49
CO,Lakewood,0843000-08059011710,843000,8059011710,18.6,39.68863119,-105.1090089,32
CO,Westminster,0883835-08001009401,883835,8001009401,27.3,39.8474184,-105.0333955,30
CO,Boulder,0807850-08013012607,807850,8013012607,14.8,40.00388035,-105.2535239,70
CO,Pueblo,0862000-08101000800,862000,8101000800,34.3,38.27858177,-104.5957692,54
CO,Aurora,0804000-08005081500,804000,8005081500,17.5,39.66247537,-104.8274003,17
CO,Lakewood,0843000-08059011728,843000,8059011728,19.1,39.67061582,-105.0924486,34
