StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon,Walk Score
FL,Miami Beach,1245025-12086004304,1245025,12086004304,24.4,25.78465768,-80.13844311,93
FL,West Palm Beach,1276600-12099001904,1276600,12099001904,26.8,26.754753,-80.09959526,38
FL,Jacksonville,1235000-12031015801,1235000,12031015801,28.8,30.30044957,-81.5826896,11
FL,Jacksonville,1235000-12031011400,1235000,12031011400,41.4,30.37986009,-81.71472759,24
FL,Tampa,1271000-12057011902,1271000,12057011902,30.4,28.01930228,-82.48536241,74
FL,Miami,1245000-12086002501,1245000,12086002501,37.6,25.80589854,-80.21795727,75
FL,Tampa,1271000-12057002000,1271000,12057002000,43.8,27.98876911,-82.43885672,61
FL,Tallahassee,1270600-12073002508,1270600,12073002508,24,30.51294804,-84.1642586,0
FL,Tampa,1271000-12057003600,1271000,12057003600,44,27.97422697,-82.40722157,37
FL,Hollywood,1232000-12011080500,1232000,12011080500,38.5,26.04056263,-80.16001029,53
FL,Miami,1245000-12086001301,1245000,12086001301,34.5,25.84993537,-80.17297736,68
FL,Orlando,1253000-12095015402,1253000,12095015402,18.5,28.58772128,-81.37490004,44
FL,Davie,1216475-12011070211,1216475,12011070211,21.6,26.07880229,-80.25804504,31
FL,Miami,1245000-12086001502,1245000,12086001502,47.4,25.8353249,-80.22524286,60
FL,Fort Lauderdale,1224000-12011041900,1224000,12011041900,21.1,26.1218144,-80.1306276,94
FL,Gainesville,1225175-12001001803,1225175,12001001803,26,29.71659062,-82.37498737,8
FL,Orlando,1253000-12095016704,1253000,12095016704,22.5,28.43391362,-81.2426517,3
FL,Tallahassee,1270600-12073001001,1270600,12073001001,39,30.41665173,-84.27362764,46
FL,St. Petersburg,1263000-12103020208,1263000,12103020208,38.5,27.71572123,-82.65464492,30
FL,Orlando,1253000-12095016804,1253000,12095016804,28.8,28.41591623,-81.35594599,14
FL,Pompano Beach,1258050-12011030904,1258050,12011030904,23.5,26.22107922,-80.11769755,52
FL,Orlando,1253000-12095018800,1253000,12095018800,20.8,28.56376235,-81.3720163,79
FL,Melbourne,1243975-12009065124,1243975,12009065124,35.3,28.05730438,-80.6106707,17
FL,Jacksonville,1235000-12031010103,1235000,12031010103,26.2,30.43670119,-81.48643827,0
FL,Orlando,1253000-12095013503,1253000,12095013503,33.3,28.51968205,-81.30669285,64
FL,Tampa,1271000-12057000700,1271000,12057000700,43.8,28.02442848,-82.44440849,41
FL,Jacksonville,1235000-12031016808,1235000,12031016808,28,30.17022302,-81.62424336,42
FL,Sunrise,1269700-12011060213,1269700,12011060213,25.8,26.16058026,-80.27551725,27
FL,Boynton Beach,1207875-12099006012,1207875,12099006012,23.4,26.53365835,-80.08696948,53
FL,Fort Lauderdale,1224000-12011042600,1224000,12011042600,26.2,26.11445963,-80.15195476,30
FL,St. Petersburg,1263000-12103021800,1263000,12103021800,34.7,27.76979991,-82.66514311,84
FL,Miami Beach,1245025-12086981000,1245025,12086981000,16.1,25.77240802,-80.14958641,27
FL,St. Petersburg,1263000-12103024001,1263000,12103024001,21.2,27.79593405,-82.61565871,14
FL,Miami,1245000-12086002202,1245000,12086002202,38.9,25.81842215,-80.20089526,75
FL,Miami,1245000-12086005103,1245000,12086005103,34.9,25.78134863,-80.23531541,80
FL,Plantation,1257425-12011060607,1257425,12011060607,23.2,26.13200952,-80.24598333,35
FL,Miami,1245000-12086001402,1245000,12086001402,43.9,25.8467281,-80.19274621,90
FL,Miami,1245000-12086006702,1245000,12086006702,22,25.75717974,-80.20157843,74
FL,Hollywood,1232000-12011090102,1232000,12011090102,23.5,26.06054344,-80.11776451,7
FL,Miami,1245000-12086003003,1245000,12086003003,34.1,25.79127964,-80.22981234,66
FL,Jacksonville,1235000-12031014329,1235000,12031014329,25.6,30.3339259,-81.46313049,5
FL,Clearwater,1212875-12103025413,1212875,12103025413,27.3,27.95395383,-82.73746846,15
FL,Jacksonville,1235000-12031014331,1235000,12031014331,28.3,30.2951412,-81.4487036,31
FL,Jacksonville,1235000-12031014404,1235000,12031014404,21.9,30.26907269,-81.50095721,3
FL,Fort Lauderdale,1224000-12011040602,1224000,12011040602,21.8,26.15574526,-80.11453512,61
FL,Boca Raton,1207300-12099007302,1207300,12099007302,22.7,26.38072349,-80.0773681,80
FL,Orlando,1253000-12095013606,1253000,12095013606,31.5,28.46378844,-81.32188608,8
FL,Tampa,1271000-12057010209,1271000,12057010209,25.4,28.16012722,-82.29506017,0
FL,Fort Lauderdale,1224000-12011050204,1224000,12011050204,26.1,26.20443746,-80.177946,22
FL,Miami,1245000-12086002201,1245000,12086002201,29.6,25.81908417,-80.19238927,90
FL,Tampa,1271000-12057003800,1271000,12057003800,42.1,27.96020866,-82.42481352,52
FL,Orlando,1253000-12095010802,1253000,12095010802,23.1,28.55975064,-81.35796791,72
FL,Deltona,1217200-12127091019,1217200,12127091019,26.4,28.92990101,-81.20872238,0
FL,Plantation,1257425-12011060501,1257425,12011060501,26.4,26.14289686,-80.24579234,29
FL,Tampa,1271000-12057000902,1271000,12057000902,37.9,28.02407153,-82.40642653,17
FL,Orlando,1253000-12095013505,1253000,12095013505,30,28.51015452,-81.29584756,2
FL,Tampa,1271000-12057007002,1271000,12057007002,32.6,27.8704482,-82.51284219,16
FL,Tallahassee,1270600-12073000901,1270600,12073000901,23.4,30.45922283,-84.24414335,16
FL,Jacksonville,1235000-12031012900,1235000,12031012900,29.5,30.25891193,-81.74739519,38
FL,Tampa,1271000-12057006300,1271000,12057006300,22.7,27.91565668,-82.51196671,54
FL,Jacksonville,1235000-12031013503,1235000,12031013503,32.3,30.21197256,-81.76055836,8
