StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon,Walk Score
IL,Chicago,1714000-17031252201,1714000,17031252201,44.4,41.87669586,-87.75210511,72
IL,Chicago,1714000-17031670700,1714000,17031670700,45.4,41.78306862,-87.66673146,64
IL,Chicago,1714000-17031838100,1714000,17031838100,30.2,41.87866521,-87.67168055,80
IL,Chicago,1714000-17031080201,1714000,17031080201,22.1,41.90949845,-87.63100543,99
IL,Chicago,1714000-17031260800,1714000,17031260800,46.6,41.87708484,-87.72309638,73
IL,Chicago,1714000-17031061200,1714000,17031061200,17.9,41.94905992,-87.66164269,87
IL,Cicero,1714351-17031813701,1714351,17031813701,33.8,41.85488333,-87.75419508,76
IL,Chicago,1714000-17031243400,1714000,17031243400,24.7,41.89255771,-87.65984786,93
IL,Chicago,1714000-17031380200,1714000,17031380200,38.5,41.82057401,-87.61498606,73
IL,Chicago,1714000-17031070400,1714000,17031070400,19.9,41.92896726,-87.65615627,93
IL,Chicago,1714000-17031320400,1714000,17031320400,15.3,41.87772138,-87.61736676,70
IL,Rockford,1765000-17201003200,1765000,17201003200,49.6,42.28462763,-89.11483075,62
IL,Joliet,1738570-17197880412,1738570,17197880412,30.9,41.55926287,-88.15593076,36
IL,Chicago,1714000-17031071600,1714000,17031071600,20.8,41.91647254,-87.6411828,91
IL,Chicago,1714000-17031841400,1714000,17031841400,45.5,41.85330987,-87.71441061,76
IL,Chicago,1714000-17031281900,1714000,17031281900,17,41.87924795,-87.64262363,97
IL,Chicago,1714000-17031834300,1714000,17031834300,37.7,41.74584475,-87.59177421,74
IL,Chicago,1714000-17031360200,1714000,17031360200,46.4,41.82687575,-87.60990515,68
IL,Decatur,1718823-17115002200,1718823,17115002200,34.5,39.89225795,-88.87302633,0
IL,Chicago,1714000-17031251700,1714000,17031251700,45.1,41.8913844,-87.74447928,64
IL,Chicago,1714000-17031071800,1714000,17031071800,21.7,41.91458552,-87.64596599,84
IL,Chicago,1714000-17031590700,1714000,17031590700,30.5,41.82678213,-87.6638518,73
IL,Chicago,1714000-17031842300,1714000,17031842300,24.4,41.90220092,-87.65606634,76
IL,Springfield,1772000-17167001003,1772000,17167001003,27.3,39.79435617,-89.71032354,55
IL,Chicago,1714000-17031843700,1714000,17031843700,23.3,41.94482653,-87.69078794,78
IL,Chicago,1714000-17031490400,1714000,17031490400,35.2,41.72365386,-87.61082373,58
IL,Bloomington,1706613-17113005800,1706613,17113005800,24,40.46740263,-88.96823753,50
IL,Chicago,1714000-17031390100,1714000,17031390100,34.3,41.81384338,-87.59063028,32
IL,Chicago,1714000-17031841800,1714000,17031841800,40.7,41.76630655,-87.59942126,64
IL,Chicago,1714000-17031283800,1714000,17031283800,29,41.86341416,-87.65375469,70
IL,Chicago,1714000-17031300600,1714000,17031300600,36.5,41.84799051,-87.71733432,83
IL,Chicago,1714000-17031520200,1714000,17031520200,36.8,41.71380157,-87.53979393,57
IL,Waukegan,1779293-17097862300,1779293,17097862300,46,42.34952966,-87.8311627,52
IL,Elgin,1723074-17031804405,1723074,17031804405,32.3,42.03494186,-88.24625023,25
IL,Bloomington,1706613-17113005101,1706613,17113005101,23.5,40.50316851,-88.91171451,24
IL,Peoria,1759000-17143003401,1759000,17143003401,25.6,40.79871,-89.60668881,39
IL,Chicago,1714000-17031070500,1714000,17031070500,18.7,41.92894553,-87.66089222,81
IL,Chicago,1714000-17031190401,1714000,17031190401,29.7,41.93472768,-87.78095236,77
IL,Peoria,1759000-17143003300,1759000,17143003300,24.1,40.76966048,-89.58696655,1
IL,Peoria,1759000-17143000200,1759000,17143000200,43.8,40.67233831,-89.63755783,41
IL,Chicago,1714000-17031020602,1714000,17031020602,24.9,42.00131562,-87.69363728,86
IL,Schaumburg,1768003-17031804610,1768003,17031804610,20.2,42.02402506,-88.05223392,31
IL,Chicago,1714000-17031611300,1714000,17031611300,36.8,41.80493627,-87.66730386,83
IL,Chicago,1714000-17031291600,1714000,17031291600,34.5,41.8576415,-87.69221584,57
IL,Chicago,1714000-17031271800,1714000,17031271800,44.3,41.87149641,-87.69848966,68
IL,Schaumburg,1768003-17031804308,1768003,17031804308,20.8,42.02633629,-88.14952005,65
IL,Chicago,1714000-17031730201,1714000,17031730201,40.2,41.72683018,-87.65791136,82
IL,Chicago,1714000-17031838300,1714000,17031838300,32.3,41.90156655,-87.63840386,89
IL,Chicago,1714000-17031241200,1714000,17031241200,23,41.90670709,-87.68468577,78
IL,Bolingbrook,1707133-17197880118,1707133,17197880118,25.1,41.72077472,-88.08260878,3
IL,Chicago,1714000-17031221100,1714000,17031221100,30.5,41.92102054,-87.71036089,87
IL,Chicago,1714000-17031242700,1714000,17031242700,34.3,41.89742539,-87.69937425,82
IL,Chicago,1714000-17031750100,1714000,17031750100,38.7,41.69583447,-87.6520283,48
IL,Decatur,1718823-17115001700,1718823,17115001700,35.2,39.85284234,-88.99474895,11
IL,Chicago,1714000-17031160300,1714000,17031160300,28.9,41.95726822,-87.73089576,63
IL,Chicago,1714000-17031560800,1714000,17031560800,24.8,41.79620554,-87.77216592,75
