StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon,Walk Score
IN,Indianapolis,1836003-18097353600,1836003,18097353600,46.2,39.79168265,-86.18764282,42
IN,South Bend,1871000-18141011802,1871000,18141011802,29,41.61958089,-86.23084551,18
IN,Fort Wayne,1825000-18003010707,1825000,18003010707,27.3,41.17032182,-85.13548307,19
IN,Indianapolis,1836003-18097320108,1836003,18097320108,36,39.90475522,-86.19347618,32
IN,South Bend,1871000-18141002700,1871000,18141002700,44.2,41.66311419,-86.27026766,37
IN,Bloomington,1805860-18105001600,1805860,18105001600,24.3,39.17717959,-86.52928581,75
IN,Gary,1827000-18089010205,1827000,18089010205,50.1,41.61681131,-87.32214329,0
IN,Fort Wayne,1825000-18003010815,1825000,18003010815,28.3,41.14453244,-85.01978384,7
IN,Indianapolis,1836003-18097330107,1836003,18097330107,27,39.89145767,-86.01749049,6
IN,Indianapolis,1836003-18097340500,1836003,18097340500,37.1,39.8168391,-86.21132818,24
IN,Fort Wayne,1825000-18003003700,1825000,18003003700,34.9,41.03575839,-85.1787756,10
IN,Indianapolis,1836003-18097320700,1836003,18097320700,24.9,39.87609196,-86.14788439,76
IN,South Bend,1871000-18141000100,1871000,18141000100,38,41.6898021,-86.30006521,51
IN,Indianapolis,1836003-18097310110,1836003,18097310110,30.7,39.84531008,-86.28302594,10
IN,Evansville,1822000-18163002900,1822000,18163002900,30.8,37.97244213,-87.60584315,30
IN,Muncie,1851876-18035001300,1851876,18035001300,39.3,40.1852562,-85.35642663,25
IN,Fort Wayne,1825000-18003010308,1825000,18003010308,27.6,41.1828287,-85.14720862,17
IN,Gary,1827000-18089011000,1827000,18089011000,46.6,41.59160379,-87.38471276,16
IN,Bloomington,1805860-18105001102,1805860,18105001102,26.1,39.13039732,-86.54963178,2
IN,Indianapolis,1836003-18097321900,1836003,18097321900,22.1,39.83982996,-86.1645121,51
IN,Indianapolis,1836003-18097352800,1836003,18097352800,50.7,39.79515974,-86.12980756,32
