StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon,Walk Score
NC,Cary,3710740-37183053519,3710740,37183053519,30,35.76425058,-78.79047795,53
NC,Charlotte,3712000-37119000300,3712000,37119000300,29.5,35.21340213,-80.84084564,67
NC,High Point,3731400-37081014000,3731400,37081014000,38.4,35.94866465,-80.02432009,18
NC,Charlotte,3712000-37119005829,3712000,37119005829,29.3,35.09379633,-80.86525075,63
NC,Charlotte,3712000-37119003007,3712000,37119003007,20.8,35.12127407,-80.81334778,9
NC,Raleigh,3755000-37183052505,3755000,37183052505,23.2,35.84757788,-78.67196674,25
NC,Winston-Salem,3775000-37067003600,3775000,37067003600,32.8,36.02553604,-80.24241245,5
NC,Gastonia,3725580-37071031900,3725580,37071031900,43.8,35.27034736,-81.19056446,49
NC,Greensboro,3728000-37081012703,3728000,37081012703,28.5,36.12055388,-79.79287922,20
NC,Fayetteville,3722920-37051002401,3722920,37051002401,45.1,35.10309332,-78.92739551,5
NC,Durham,3719000-37063001603,3719000,37063001603,28.1,36.08254038,-78.92115352,12
NC,Durham,3719000-37063001709,3719000,37063001709,41.1,36.04350304,-78.88668307,19
NC,Greensboro,3728000-37081011905,3728000,37081011905,40.7,36.13280547,-79.75512888,7
NC,Fayetteville,3722920-37051000500,3722920,37051000500,39.2,35.02625846,-78.90035549,37
NC,Gastonia,3725580-37071033400,3725580,37071033400,36.5,35.17609656,-81.20189848,4
NC,Winston-Salem,3775000-37067002804,3775000,37067002804,35.9,36.18487395,-80.31055594,5
NC,Greensboro,3728000-37081010403,3728000,37081010403,25.6,36.10486256,-79.81521793,61
NC,Charlotte,3712000-37119005615,3712000,37119005615,25.9,35.28363064,-80.688473,2
NC,Winston-Salem,3775000-37067001601,3775000,37067001601,43.2,36.14055822,-80.21233711,5
NC,Charlotte,3712000-37119003016,3712000,37119003016,20.4,35.11238262,-80.76868087,2
NC,Charlotte,3712000-37119005842,3712000,37119005842,20.5,35.051305,-80.80398254,23
NC,Jacksonville,3734200-37133001800,3734200,37133001800,29.9,34.74792927,-77.42843331,48
NC,Durham,3719000-37063002013,3719000,37063002013,27.9,35.89155116,-78.90992843,27
NC,Charlotte,3712000-37119004305,3712000,37119004305,35.5,35.24958435,-80.91384917,17
NC,Asheville,3702140-37021002302,3702140,37021002302,23.7,35.54072635,-82.61876418,3
NC,Winston-Salem,3775000-37067001000,3775000,37067001000,34.4,36.07851309,-80.26488848,33
NC,Greensboro,3728000-37081011000,3728000,37081011000,32.5,36.07787994,-79.76919531,60
NC,Greenville,3728080-37147000201,3728080,37147000201,23.9,35.60871069,-77.34556541,34
NC,Fayetteville,3722920-37051003311,3722920,37051003311,27.5,35.06151285,-79.00527817,31
NC,Charlotte,3712000-37119003300,3712000,37119003300,23.1,35.19494976,-80.86114303,47
NC,Durham,3719000-37063001708,3719000,37063001708,38.2,36.06741699,-78.89051222,5
NC,Raleigh,3755000-37183052407,3755000,37183052407,26.9,35.7845359,-78.70981199,28
NC,Winston-Salem,3775000-37067002702,3775000,37067002702,37.9,36.16203038,-80.27687837,38
NC,Jacksonville,3734200-37133000800,3734200,37133000800,20.1,34.72766934,-77.3393346,5
NC,Charlotte,3712000-37119005848,3712000,37119005848,20.3,35.08902977,-80.74544345,3
NC,Durham,3719000-37063001710,3719000,37063001710,34.1,36.05790556,-78.91273102,14
NC,Greensboro,3728000-37081012611,3728000,37081012611,38.4,36.02411898,-79.82528077,6
