StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon,Walk Score
OH,Parma,3961000-39035177404,3961000,39035177404,29.2,41.38974492,-81.7394479,56
OH,Columbus,3918000-39049000810,3918000,39049000810,37.8,40.02654336,-82.97619932,47
OH,Columbus,3918000-39049008825,3918000,39049008825,35.1,39.88620431,-82.97727074,25
OH,Toledo,3977000-39095008400,3977000,39095008400,32.2,41.66716658,-83.68325737,53
OH,Dayton,3921000-39113165200,3921000,39113165200,48.8,39.76718422,-84.19817341,65
OH,Cleveland,3916000-39035101101,3916000,39035101101,47.6,41.48173005,-81.74805065,64
OH,Akron,3901000-39153507101,3901000,39153507101,31.3,41.12532467,-81.57684434,16
OH,Cincinnati,3915000-39061001100,3915000,39061001100,42.8,39.10981584,-84.50606268,90
OH,Cincinnati,3915000-39061007400,3915000,39061007400,36.3,39.16234317,-84.53482859,84
OH,Canton,3912000-39151712202,3912000,39151712202,28.4,40.85236141,-81.355221,14
OH,Cleveland,3916000-39035122200,3916000,39035122200,46.5,41.43553983,-81.57248902,28
OH,Cleveland,3916000-39035119100,3916000,39035119100,28.9,41.50216848,-81.60911337,73
OH,Canton,3912000-39151701500,3912000,39151701500,41.7,40.79441916,-81.38823828,58
OH,Akron,3901000-39153504100,3901000,39153504100,36.7,41.06547711,-81.50560814,28
OH,Akron,3901000-39153505600,3901000,39153505600,44.4,41.05186609,-81.54041271,11
OH,Cincinnati,3915000-39061010500,3915000,39061010500,33.1,39.1107388,-84.68583209,29
OH,Columbus,3918000-39049000320,3918000,39049000320,32.5,40.03815934,-82.983421,47
OH,Columbus,3918000-39049008730,3918000,39049008730,48.4,39.93034491,-82.94288103,18
OH,Cincinnati,3915000-39061005400,3915000,39061005400,25.8,39.16122065,-84.42581737,58
OH,Parma,3961000-39035177607,3961000,39035177607,29.3,41.35738815,-81.74738456,5
OH,Cleveland,3916000-39035118800,3916000,39035118800,24.5,41.50894135,-81.59835906,86
OH,Cleveland,3916000-39035105300,3916000,39035105300,44.3,41.45846147,-81.71671864,61
OH,Columbus,3918000-39045032702,3918000,39045032702,37.4,39.92275493,-82.80662447,13
OH,Parma,3961000-39035177604,3961000,39035177604,28.9,41.36537429,-81.77013853,24
OH,Cleveland,3916000-39035124300,3916000,39035124300,37.3,41.44080977,-81.78520551,44
OH,Cincinnati,3915000-39061008502,3915000,39061008502,47,39.15826424,-84.55904055,1
OH,Toledo,3977000-39095000400,3977000,39095000400,39.7,41.69749933,-83.55953364,58
OH,Cleveland,3916000-39035121401,3916000,39035121401,48.9,41.44764513,-81.59205592,57
OH,Columbus,3918000-39049000910,3918000,39049000910,49.1,40.01599134,-82.97413925,63
OH,Akron,3901000-39153506200,3901000,39153506200,43.6,41.08792287,-81.57192771,61
OH,Cleveland,3916000-39035123603,3916000,39035123603,30.6,41.44829445,-81.8110662,74
OH,Akron,3901000-39153502200,3901000,39153502200,37.7,41.09684055,-81.4884727,44
OH,Cleveland,3916000-39035111401,3916000,39035111401,50.6,41.5369126,-81.62639376,33
OH,Cleveland,3916000-39035117101,3916000,39035117101,44.9,41.57384568,-81.58173999,41
OH,Toledo,3977000-39095002700,3977000,39095002700,50.3,41.65769086,-83.54816635,82
OH,Dayton,3921000-39113004300,3921000,39113004300,56.4,39.72024897,-84.24006247,4
