StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon,Walk Score
PA,Reading,4263624-42011002900,4263624,42011002900,28.9,40.31328288,-75.92813097,17
PA,Pittsburgh,4261000-42003040900,4261000,42003040900,28.5,40.43329878,-79.95800989,83
PA,Philadelphia,4260000-42101000803,4260000,42101000803,19.3,39.94937478,-75.17424888,98
PA,Pittsburgh,4261000-42003561700,4261000,42003561700,38.6,40.40931974,-79.97398,21
PA,Pittsburgh,4261000-42003241200,4261000,42003241200,33.2,40.46855543,-79.98921333,40
PA,Philadelphia,4260000-42101021700,4260000,42101021700,24.6,40.04502777,-75.2239454,66
PA,Reading,4263624-42011000200,4263624,42011000200,41.1,40.35498744,-75.9481089,67
PA,Philadelphia,4260000-42101015101,4260000,42101015101,45.6,39.98696327,-75.18575015,47
PA,Philadelphia,4260000-42101034803,4260000,42101034803,26.1,40.06167845,-75.00276793,19
PA,Philadelphia,4260000-42101000200,4260000,42101000200,19.4,39.9553999,-75.1569775,99
PA,Philadelphia,4260000-42101029900,4260000,42101029900,42.1,40.01314654,-75.0747146,67
PA,Philadelphia,4260000-42101030700,4260000,42101030700,29.8,40.05731342,-75.08853898,83
PA,Pittsburgh,4261000-42003151700,4261000,42003151700,25.6,40.42395166,-79.93311781,77
PA,Scranton,4269000-42069102800,4269000,42069102800,27.2,41.36516564,-75.64939318,0
PA,Philadelphia,4260000-42101010200,4260000,42101010200,47.8,39.96808299,-75.23167015,74
PA,Philadelphia,4260000-42101013402,4260000,42101013402,21.8,39.96536231,-75.16903256,90
PA,Philadelphia,4260000-42101000600,4260000,42101000600,19.1,39.94938448,-75.15833549,99
PA,Pittsburgh,4261000-42003310300,4261000,42003310300,28.8,40.38792038,-79.92255354,4
PA,Pittsburgh,4261000-42003130300,4261000,42003130300,45.8,40.4546279,-79.89683317,66
PA,Philadelphia,4260000-42101032000,4260000,42101032000,29.7,40.02717512,-75.05486726,87
PA,Philadelphia,4260000-42101009100,4260000,42101009100,29.6,39.95941794,-75.19772448,87
PA,Philadelphia,4260000-42101021800,4260000,42101021800,23.3,40.05747611,-75.23243517,68
PA,Philadelphia,4260000-42101014500,4260000,42101014500,32,39.97607152,-75.14841885,71
PA,Philadelphia,4260000-42101020101,4260000,42101020101,42.4,40.00368247,-75.15530715,80
PA,Scranton,4269000-42069102600,4269000,42069102600,33.8,41.39575234,-75.66605921,76
PA,Philadelphia,4260000-42101003100,4260000,42101003100,40.5,39.93234285,-75.17795719,82
PA,Pittsburgh,4261000-42003050100,4261000,42003050100,47.2,40.44771275,-79.9728904,61
PA,Bethlehem,4206088-42095011200,4206088,42095011200,39.7,40.60740571,-75.36635574,65
PA,Philadelphia,4260000-42101016800,4260000,42101016800,44.8,39.99178208,-75.16765402,53
PA,Philadelphia,4260000-42101016000,4260000,42101016000,27.1,39.97938097,-75.12319021,92
PA,Philadelphia,4260000-42101013602,4260000,42101013602,23.2,39.97157137,-75.17980973,91
PA,Pittsburgh,4261000-42003130100,4261000,42003130100,46.2,40.4592507,-79.88868855,39
PA,Philadelphia,4260000-42101025700,4260000,42101025700,25.7,40.07245861,-75.19627076,81
PA,Philadelphia,4260000-42101030600,4260000,42101030600,30.7,40.05049225,-75.09437872,85
PA,Philadelphia,4260000-42101033702,4260000,42101033702,24.3,40.07075317,-75.05782108,48
PA,Pittsburgh,4261000-42003040500,4261000,42003040500,24.5,40.43962254,-79.95595259,96
PA,Philadelphia,4260000-42101031501,4260000,42101031501,28.8,40.03659193,-75.04816413,88
PA,Philadelphia,4260000-42101029200,4260000,42101029200,33.1,40.02385034,-75.1008716,39
PA,Philadelphia,4260000-42101015300,4260000,42101015300,30.1,39.98376445,-75.16088492,74
PA,Pittsburgh,4261000-42003111300,4261000,42003111300,37.5,40.46898106,-79.92449073,77
PA,Philadelphia,4260000-42101008602,4260000,42101008602,39.2,39.95697248,-75.216703,91
PA,Philadelphia,4260000-42101016701,4260000,42101016701,43.5,39.99119657,-75.16190172,48
PA,Pittsburgh,4261000-42003140100,4261000,42003140100,18.8,40.44274371,-79.9373464,66
PA,Pittsburgh,4261000-42003281500,4261000,42003281500,30.5,40.44046231,-80.05392885,38
PA,Philadelphia,4260000-42101036501,4260000,42101036501,26.1,40.12932065,-75.01319625,65
PA,Pittsburgh,4261000-42003110200,4261000,42003110200,31.7,40.47555152,-79.92316264,65
PA,Philadelphia,4260000-42101024000,4260000,42101024000,34.8,40.02808074,-75.17946237,79
PA,Pittsburgh,4261000-42003250900,4261000,42003250900,39.1,40.46281325,-80.00427635,37
PA,Philadelphia,4260000-42101024600,4260000,42101024600,42.5,40.03854872,-75.17199262,88
PA,Philadelphia,4260000-42101033200,4260000,42101033200,25.5,40.04394109,-75.04482812,67
PA,Philadelphia,4260000-42101033102,4260000,42101033102,27.4,40.04510498,-75.02728686,73
PA,Philadelphia,4260000-42101034501,4260000,42101034501,26.4,40.07490924,-75.03920885,67
PA,Philadelphia,4260000-42101034900,4260000,42101034900,30.7,40.04538481,-75.00907637,69
PA,Philadelphia,4260000-42101008000,4260000,42101008000,39.6,39.95066135,-75.22684234,89
PA,Philadelphia,4260000-42101018001,4260000,42101018001,30,39.98105698,-75.11280001,82
PA,Philadelphia,4260000-42101010800,4260000,42101010800,44.7,39.96602173,-75.19898902,68
PA,Scranton,4269000-42069100900,4269000,42069100900,31.4,41.43140169,-75.65464751,75
PA,Philadelphia,4260000-42101000401,4260000,42101000401,22.8,39.95413661,-75.17656018,99
PA,Philadelphia,4260000-42101003701,4260000,42101003701,38.5,39.92767282,-75.18066547,86
PA,Scranton,4269000-42069100500,4269000,42069100500,28.6,41.40404564,-75.6393958,53
PA,Philadelphia,4260000-42101012204,4260000,42101012204,32.2,40.00081525,-75.21345798,63
PA,Philadelphia,4260000-42101017900,4260000,42101017900,37.3,39.98705345,-75.11393389,80
PA,Philadelphia,4260000-42101027500,4260000,42101027500,37.3,40.04004993,-75.13227062,84
PA,Pittsburgh,4261000-42003191600,4261000,42003191600,32.2,40.41729918,-80.02322635,45
PA,Pittsburgh,4261000-42003180700,4261000,42003180700,30.9,40.42465132,-80.0012947,70
PA,Philadelphia,4260000-42101011900,4260000,42101011900,41.7,39.98611438,-75.22884297,52
PA,Philadelphia,4260000-42101010600,4260000,42101010600,47.2,39.96463275,-75.20792132,59
PA,Philadelphia,4260000-42101025300,4260000,42101025300,41.1,40.05421984,-75.18222004,80
PA,Pittsburgh,4261000-42003320600,4261000,42003320600,30.1,40.39466055,-80.00508191,29
PA,Philadelphia,4260000-42101031200,4260000,42101031200,36.2,40.03542045,-75.07745496,82
PA,Philadelphia,4260000-42101034400,4260000,42101034400,23.1,40.09400001,-75.05483317,7
PA,Philadelphia,4260000-42101001500,4260000,42101001500,23.7,39.94190368,-75.15911582,97
PA,Philadelphia,4260000-42101027600,4260000,42101027600,40.2,40.04294042,-75.13927709,81
PA,Philadelphia,4260000-42101033000,4260000,42101033000,31,40.03359748,-75.0338493,83
PA,Allentown,4202000-42077001200,4202000,42077001200,41.1,40.60080532,-75.46578411,87
PA,Bethlehem,4206088-42077009200,4206088,42077009200,26.7,40.64044104,-75.41789604,60
PA,Philadelphia,4260000-42101017702,4260000,42101017702,43.5,39.99506218,-75.12313984,81
PA,Philadelphia,4260000-42101011200,4260000,42101011200,43.2,39.97360415,-75.23365331,76
PA,Philadelphia,4260000-42101011700,4260000,42101011700,24.6,39.99190697,-75.24043695,51
PA,Reading,4263624-42011002500,4263624,42011002500,44.4,40.33324775,-75.93508809,87
PA,Philadelphia,4260000-42101021000,4260000,42101021000,22.5,40.02421632,-75.21490583,92
PA,Philadelphia,4260000-42101031000,4260000,42101031000,29.7,40.0497293,-75.07445407,71
PA,Philadelphia,4260000-42101032600,4260000,42101032600,28.5,40.03027741,-75.03962646,82
PA,Erie,4224000-42049000500,4224000,42049000500,40.4,42.13814938,-80.05904885,65
PA,Scranton,4269000-42069100300,4269000,42069100300,24.3,41.40539649,-75.65485258,86
PA,Philadelphia,4260000-42101002500,4260000,42101002500,28,39.93429596,-75.14980236,95
PA,Reading,4263624-42011002600,4263624,42011002600,44.4,40.32266775,-75.94241011,31
PA,Philadelphia,4260000-42101024500,4260000,42101024500,43,40.03332874,-75.16204624,76
PA,Pittsburgh,4261000-42003160800,4261000,42003160800,31.1,40.42085543,-79.97132932,72
PA,Philadelphia,4260000-42101011000,4260000,42101011000,44.6,39.97372901,-75.20629516,63
PA,Philadelphia,4260000-42101038600,4260000,42101038600,23.9,40.05805199,-75.21027378,28
PA,Allentown,4202000-42077001501,4202000,42077001501,36.6,40.57579681,-75.46789219,49
PA,Philadelphia,4260000-42101032300,4260000,42101032300,32,40.02108984,-75.05152698,75
PA,Philadelphia,4260000-42101034701,4260000,42101034701,26.8,40.06517184,-75.03313563,52
PA,Philadelphia,4260000-42101020700,4260000,42101020700,22.1,40.01279611,-75.19397013,82
PA,Pittsburgh,4261000-42003250700,4261000,42003250700,47.2,40.45994208,-80.02186583,53
PA,Philadelphia,4260000-42101036900,4260000,42101036900,16,39.94909582,-75.19370441,85
PA,Allentown,4202000-42077000600,4202000,42077000600,35.2,40.59240545,-75.44945134,39
PA,Philadelphia,4260000-42101008102,4260000,42101008102,42.7,39.95222165,-75.23455836,55
PA,Philadelphia,4260000-42101006200,4260000,42101006200,40.6,39.91941342,-75.23352562,76
PA,Philadelphia,4260000-42101027800,4260000,42101027800,40.8,40.04252792,-75.14716263,87
PA,Pittsburgh,4261000-42003192000,4261000,42003192000,30.5,40.40443188,-80.02704988,69
PA,Philadelphia,4260000-42101004001,4260000,42101004001,25,39.92380354,-75.16621024,95
PA,Reading,4263624-42011001800,4263624,42011001800,36.4,40.33711993,-75.90264453,7
PA,Allentown,4202000-42077002000,4202000,42077002000,40.2,40.60097021,-75.48779549,84
PA,Philadelphia,4260000-42101007700,4260000,42101007700,25.2,39.94635235,-75.20825839,90
PA,Pittsburgh,4261000-42003982200,4261000,42003982200,24.5,40.44448787,-79.9547652,95
PA,Philadelphia,4260000-42101013200,4260000,42101013200,41,39.96620428,-75.15713354,86
PA,Philadelphia,4260000-42101025500,4260000,42101025500,32.6,40.06257964,-75.18406381,82
PA,Allentown,4202000-42077009600,4202000,42077009600,37.2,40.61037799,-75.4390375,55
PA,Philadelphia,4260000-42101980200,4260000,42101980200,20.6,40.06981173,-75.04902172,65
PA,Philadelphia,4260000-42101003600,4260000,42101003600,38.9,39.92792558,-75.19202083,62
PA,Philadelphia,4260000-42101030800,4260000,42101030800,28.5,40.05478323,-75.08190559,72
PA,Philadelphia,4260000-42101030900,4260000,42101030900,33.1,40.04376327,-75.08519132,85
PA,Philadelphia,4260000-42101019501,4260000,42101019501,43.5,40.00043024,-75.13162272,78
PA,Pittsburgh,4261000-42003562700,4261000,42003562700,33.5,40.45194154,-80.00986818,86
PA,Pittsburgh,4261000-42003262000,4261000,42003262000,35.8,40.46718119,-79.9952226,43
PA,Philadelphia,4260000-42101028500,4260000,42101028500,38.8,40.02871552,-75.13373585,81
PA,Reading,4263624-42011001400,4263624,42011001400,42.8,40.3461184,-75.91918256,76
PA,Philadelphia,4260000-42101015600,4260000,42101015600,38.1,39.97900664,-75.14189103,80
PA,Philadelphia,4260000-42101038200,4260000,42101038200,34.1,39.99745811,-75.09746582,88
PA,Philadelphia,4260000-42101017100,4260000,42101017100,44.3,40.00274486,-75.1763245,69
PA,Pittsburgh,4261000-42003980900,4261000,42003980900,42.1,40.46654148,-80.04194727,10
PA,Philadelphia,4260000-42101024300,4260000,42101024300,42.6,40.02158547,-75.17103764,67
PA,Philadelphia,4260000-42101021400,4260000,42101021400,22.4,40.02834211,-75.22408209,94
PA,Pittsburgh,4261000-42003141400,4261000,42003141400,23.6,40.42131843,-79.91875628,45
PA,Philadelphia,4260000-42101024100,4260000,42101024100,44.1,40.03327342,-75.17591747,95
PA,Pittsburgh,4261000-42003140300,4261000,42003140300,22.3,40.44144688,-79.91957536,88
PA,Allentown,4202000-42077002301,4202000,42077002301,25.6,40.59788381,-75.52733773,61
PA,Pittsburgh,4261000-42003562400,4261000,42003562400,40.3,40.41270703,-80.00241518,19
PA,Pittsburgh,4261000-42003070300,4261000,42003070300,21.1,40.45078382,-79.93520401,90
PA,Philadelphia,4260000-42101012100,4260000,42101012100,35.2,39.99596187,-75.22263647,33
PA,Philadelphia,4260000-42101038700,4260000,42101038700,21.5,40.08329713,-75.21434392,51
PA,Philadelphia,4260000-42101036000,4260000,42101036000,22.2,40.10473902,-75.01045386,52
PA,Philadelphia,4260000-42101029000,4260000,42101029000,36.3,40.03029194,-75.11676702,77
