StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon,Walk Score
TN,Nashville,4752006-47037015100,4752006,47037015100,28.2,36.15628502,-86.67939139,19
TN,Memphis,4748000-47157007900,4748000,47157007900,44.8,35.10133445,-89.95949775,26
TN,Memphis,4748000-47157000800,4748000,47157000800,47.8,35.17816914,-89.97290932,53
TN,Nashville,4752006-47037018201,4752006,47037018201,22.6,36.11534572,-86.8913815,11
TN,Memphis,4748000-47157021900,4748000,47157021900,42.4,35.00931905,-89.96186363,1
TN,Chattanooga,4714000-47065010903,4714000,47065010903,26.8,35.12485501,-85.30793263,15
TN,Murfreesboro,4751560-47149041401,4751560,47149041401,27.7,35.87862414,-86.36913627,3
TN,Memphis,4748000-47157007810,4748000,47157007810,42.8,35.09209395,-90.00485794,8
TN,Memphis,4748000-47157001700,4748000,47157001700,32.5,35.1586332,-90.00426879,54
TN,Nashville,4752006-47037019600,4752006,47037019600,32.6,36.15383117,-86.72216748,22
TN,Knoxville,4740000-47093001900,4740000,47093001900,45.8,35.9961549,-83.88691246,42
TN,Nashville,4752006-47037015629,4752006,47037015629,31.6,36.05066826,-86.63711123,26
TN,Knoxville,4740000-47093004200,4740000,47093004200,29,36.03961296,-83.91850892,20
TN,Chattanooga,4714000-47065001100,4714000,47065001100,41.7,35.0396542,-85.28056912,53
TN,Memphis,4748000-47157005300,4748000,47157005300,45.8,35.09212448,-90.07533059,20
TN,Chattanooga,4714000-47065011323,4714000,47065011323,29.9,35.04103605,-85.13762428,10
TN,Chattanooga,4714000-47065002000,4714000,47065002000,37.4,35.02890943,-85.31218624,58
TN,Memphis,4748000-47157000600,4748000,47157000600,47.1,35.18133443,-89.99318595,13
TN,Chattanooga,4714000-47065010432,4714000,47065010432,26.4,35.12792965,-85.20823364,4
TN,Memphis,4748000-47157000300,4748000,47157000300,48.4,35.17812942,-90.0296003,13
TN,Memphis,4748000-47157011100,4748000,47157011100,45.6,35.17315223,-89.9566873,38
TN,Knoxville,4740000-47093003902,4740000,47093003902,32.7,35.99858989,-83.97281538,25
TN,Chattanooga,4714000-47065011444,4714000,47065011444,42.7,35.0620591,-85.21753649,0
TN,Memphis,4748000-47157020542,4748000,47157020542,38,35.19750052,-89.90686581,31
TN,Clarksville,4715160-47125101902,4715160,47125101902,26.5,36.54019379,-87.31254542,0
TN,Clarksville,4715160-47125102006,4715160,47125102006,27,36.62928416,-87.29595771,7
TN,Nashville,4752006-47037015628,4752006,47037015628,35.8,36.05320722,-86.65720408,50
TN,Clarksville,4715160-47125100900,4715160,47125100900,38.4,36.54890147,-87.37265705,32
TN,Knoxville,4740000-47093005100,4740000,47093005100,26.9,36.05318338,-83.91569055,2
TN,Memphis,4748000-47157004600,4748000,47157004600,42.5,35.12862419,-90.02804852,52
TN,Nashville,4752006-47037018101,4752006,47037018101,29.9,36.14396136,-86.86626606,49
TN,Knoxville,4740000-47093002100,4740000,47093002100,43.4,35.97532147,-83.87038655,4
TN,Knoxville,4740000-47093007100,4740000,47093007100,23.5,35.93357972,-83.97350606,24
TN,Memphis,4748000-47157021137,4748000,47157021137,25.7,35.14200674,-89.78107161,27
TN,Clarksville,4715160-47125101303,4715160,47125101303,27.8,36.63594932,-87.39698475,18
