StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon,Walk Score
VA,Alexandria,5101000-51510200201,5101000,51510200201,21.1,38.82723238,-77.09868009,61
VA,Richmond,5167000-51760070802,5167000,51760070802,38.1,37.46936154,-77.47714875,23
VA,Norfolk,5157000-51710001600,5157000,51710001600,35,36.91605151,-76.29259244,43
VA,Hampton,5135000-51650010800,5135000,51650010800,34.3,37.04280218,-76.33117923,15
VA,Norfolk,5157000-51710002600,5157000,51710002600,25.3,36.88592596,-76.29728645,80
VA,Richmond,5167000-51760021000,5167000,51760021000,38.7,37.5204036,-77.39473743,37
VA,Norfolk,5157000-51710005902,5157000,51710005902,32.4,36.88617092,-76.22767525,37
VA,Chesapeake,5116000-51550020200,5116000,51550020200,46.7,36.81127,-76.26375863,37
VA,Richmond,5167000-51760020600,5167000,51760020600,25.5,37.533408,-77.41569236,86
VA,Newport News,5156000-51700031902,5156000,51700031902,27.3,37.0955605,-76.50827734,21
VA,Norfolk,5157000-51710006000,5157000,51710006000,32.7,36.88711026,-76.24318104,43
VA,Hampton,5135000-51650010311,5135000,51650010311,35.7,37.05084966,-76.41336331,7
VA,Alexandria,5101000-51510202001,5101000,51510202001,19.6,38.8003541,-77.04404662,96
VA,Roanoke,5168000-51770000602,5168000,51770000602,26.2,37.28958445,-79.90246386,33
VA,Virginia Beach,5182000-51810045422,5182000,51810045422,28.4,36.76883813,-76.07092361,3
VA,Virginia Beach,5182000-51810045412,5182000,51810045412,27.9,36.72608999,-75.9572221,0
VA,Alexandria,5101000-51510200701,5101000,51510200701,19.5,38.80420435,-77.08247766,37
VA,Lynchburg,5147672-51680000400,5147672,51680000400,40.2,37.42874029,-79.15359915,39
VA,Suffolk,5176432-51800075301,5176432,51800075301,28.3,36.90980886,-76.48092243,1
VA,Virginia Beach,5182000-51810041400,5182000,51810041400,26.6,36.8916201,-76.12060664,3
VA,Hampton,5135000-51650011300,5135000,51650011300,38.9,37.01890858,-76.32196649,80
VA,Virginia Beach,5182000-51810041004,5182000,51810041004,32.8,36.8487195,-76.14628061,71
VA,Virginia Beach,5182000-51810046217,5182000,51810046217,27.6,36.76779496,-76.16583212,3
VA,Richmond,5167000-51760071100,5167000,51760071100,28.2,37.52594794,-77.51050371,33
VA,Portsmouth,5164000-51740212801,5164000,51740212801,37.6,36.81196022,-76.37306057,50
VA,Virginia Beach,5182000-51810040403,5182000,51810040403,30.5,36.89706911,-76.17252006,24
VA,Virginia Beach,5182000-51810045427,5182000,51810045427,31.7,36.77351629,-75.98057265,9
VA,Alexandria,5101000-51510200301,5101000,51510200301,23.1,38.82610606,-77.1164493,14
VA,Richmond,5167000-51760030100,5167000,51760030100,48.6,37.55241094,-77.43493611,68
VA,Richmond,5167000-51760041200,5167000,51760041200,23.2,37.5390894,-77.45122472,81
VA,Newport News,5156000-51700032123,5156000,51700032123,32.5,37.17118151,-76.53710173,9
VA,Newport News,5156000-51700031901,5156000,51700031901,26,37.07805226,-76.51558056,7
VA,Norfolk,5157000-51710002000,5157000,51710002000,27.1,36.89704913,-76.26128403,25
VA,Virginia Beach,5182000-51810046223,5182000,51810046223,27.2,36.78899453,-76.1724585,27
VA,Norfolk,5157000-51710006601,5157000,51710006601,30.9,36.92276285,-76.22986273,51
VA,Lynchburg,5147672-51680000700,5147672,51680000700,40.5,37.4027273,-79.16266978,68
VA,Virginia Beach,5182000-51810045415,5182000,51810045415,30.2,36.81368197,-76.07783445,60
VA,Suffolk,5176432-51800075204,5176432,51800075204,33.7,36.8454542,-76.4498093,0
VA,Richmond,5167000-51760010401,5167000,51760010401,29.8,37.58808529,-77.45354816,71
