StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon,Walk Score
WA,Seattle,5363000-53033006300,5363000,53033006300,19.5,47.6362046,-122.2758854,81
WA,Tacoma,5370000-53053062801,5370000,53053062801,32.9,47.22424528,-122.4971727,19
WA,Bellevue,5305210-53033024902,5305210,53033024902,19.8,47.56432888,-122.1347099,14
WA,Kent,5335415-53033029206,5335415,53033029206,30.3,47.41314881,-122.2435683,37
WA,Vancouver,5374060-53011041310,5374060,53011041310,23.5,45.59671833,-122.5183209,15
WA,Everett,5322640-53061041400,5322640,53061041400,32.6,47.94172692,-122.2038806,38
WA,Renton,5357745-53033025803,5357745,53033025803,28,47.45038968,-122.1784571,39
WA,Seattle,5363000-53033001400,5363000,53033001400,23.3,47.70672755,-122.3664969,16
WA,Tacoma,5370000-53053062802,5370000,53053062802,29.9,47.19399367,-122.4964124,42
WA,Auburn,5303180-53033031202,5303180,53033031202,25.5,47.27911846,-122.1550703,15
WA,Seattle,5363000-53033010402,5363000,53033010402,18.5,47.55378777,-122.3102258,48
WA,Spokane,5367000-53063002500,5367000,53063002500,26.8,47.67178887,-117.4001915,85
WA,Spokane Valley,5367167-53063012000,5367167,53063012000,31.6,47.66584729,-117.2719115,44
WA,Seattle,5363000-53033008500,5363000,53033008500,30.3,47.60511254,-122.3249464,96
WA,Seattle,5363000-53033005200,5363000,53033005200,19.8,47.65896613,-122.3230895,86
WA,Spokane Valley,5367167-53063012901,5367167,53063012901,33.9,47.6645733,-117.2087693,40
WA,Spokane,5367000-53063000300,5367000,53063000300,37.2,47.70784162,-117.3870149,43
WA,Spokane,5367000-53063001600,5367000,53063001600,35.8,47.69232199,-117.3712137,75
WA,Tacoma,5370000-53053940001,5370000,53053940001,26.4,47.30264586,-122.4044079,8
WA,Yakima,5380010-53077002900,5380010,53077002900,33.3,46.61342865,-120.5983337,0
WA,Seattle,5363000-53033002500,5363000,53033002500,20,47.68389716,-122.3022792,68
WA,Spokane,5367000-53063013500,5367000,53063013500,28.9,47.59764682,-117.4232789,2
WA,Tacoma,5370000-53053072309,5370000,53053072309,25.3,47.23878626,-122.5550117,33
WA,Seattle,5363000-53033007900,5363000,53033007900,23.1,47.6143866,-122.3076722,94
WA,Bellingham,5305280-53073000805,5305280,53073000805,26.2,48.74969399,-122.4210418,24
WA,Bellingham,5305280-53073001201,5305280,53073001201,24.4,48.72191862,-122.4831143,31
WA,Tacoma,5370000-53053071601,5370000,53053071601,31.6,47.18807923,-122.4116155,57
WA,Auburn,5303180-53033031206,5303180,53033031206,24.8,47.31400616,-122.1839801,11
WA,Bellingham,5305280-53073000902,5305280,53073000902,23,48.71145314,-122.4548637,9
WA,Seattle,5363000-53033007600,5363000,53033007600,22.1,47.62186781,-122.3075858,92
WA,Seattle,5363000-53033005700,5363000,53033005700,20.6,47.66029224,-122.4139419,15
WA,Federal Way,5323515-53033030309,5323515,53033030309,23.8,47.30209949,-122.3387141,20
WA,Federal Way,5323515-53033030304,5323515,53033030304,24.1,47.27690782,-122.3304023,8
WA,Renton,5357745-53033025200,5357745,53033025200,23,47.50968849,-122.1847909,41
WA,Spokane,5367000-53063011102,5367000,53063011102,32.8,47.73875873,-117.4024117,66
WA,Renton,5357745-53033026100,5357745,53033026100,27.6,47.4811437,-122.2398314,15
WA,Seattle,5363000-53033008001,5363000,53033008001,20.8,47.61492657,-122.3551412,92
WA,Seattle,5363000-53033011001,5363000,53033011001,27,47.53835967,-122.2862047,85
WA,Seattle,5363000-53033009701,5363000,53033009701,22.1,47.57333678,-122.4105583,71
WA,Federal Way,5323515-53033030314,5323515,53033030314,27,47.30809568,-122.3236867,61
WA,Seattle,5363000-53033006500,5363000,53033006500,19.6,47.63096364,-122.3177578,51
WA,Seattle,5363000-53033003500,5363000,53033003500,21.5,47.6725469,-122.3520881,67
WA,Tacoma,5370000-53053063400,5370000,53053063400,32.7,47.18096245,-122.4314571,63
WA,Vancouver,5374060-53011041318,5374060,53011041318,29.2,45.62972604,-122.5360966,39
WA,Yakima,5380010-53077000500,5380010,53077000500,28.7,46.60489335,-120.5440072,44
WA,Seattle,5363000-53033003800,5363000,53033003800,20.9,47.67940934,-122.2955292,55
WA,Bellevue,5305210-53033023804,5305210,53033023804,16.9,47.61328047,-122.1984659,95
WA,Renton,5357745-53033025806,5357745,53033025806,20.7,47.45464299,-122.2096928,12
WA,Seattle,5363000-53033007000,5363000,53033007000,19.6,47.62823286,-122.3568062,94
WA,Everett,5322640-53061041805,5322640,53061041805,30.1,47.91404187,-122.2226767,66
WA,Yakima,5380010-53077000400,5380010,53077000400,27.5,46.60834123,-120.587776,9
WA,Tacoma,5370000-53053940007,5370000,53053940007,35.4,47.23225032,-122.4032642,28
WA,Everett,5322640-53061041701,5322640,53061041701,30.7,47.89311257,-122.2106777,54
WA,Bellevue,5305210-53033025003,5305210,53033025003,19.3,47.55543778,-122.1126772,51
WA,Kent,5335415-53033031704,5335415,53033031704,24.3,47.35148674,-122.1500247,28
WA,Tacoma,5370000-53053072310,5370000,53053072310,27.3,47.24212618,-122.5398668,67
WA,Federal Way,5323515-53033030003,5323515,53033030003,26.4,47.34584438,-122.3143079,43
WA,Spokane Valley,5367167-53063011800,5367167,53063011800,31.1,47.66528671,-117.2296373,39
