StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Population2010,Lat,Lon,Walk Score
WA,Seattle,5363000-53033006300,5363000,53033006300,19.5,4962,47.636204596,-122.275885393,81
WA,Tacoma,5370000-53053062801,5370000,53053062801,32.9,6130,47.2242452813,-122.497172711,19
WA,Bellevue,5305210-53033024902,5305210,53033024902,19.8,2601,47.5643288754,-122.134709858,14
WA,Kent,5335415-53033029206,5335415,53033029206,30.3,3853,47.4131488108,-122.24356832,37
WA,Vancouver,5374060-53011041310,5374060,53011041310,23.5,4746,45.5967183312,-122.518320907,15
WA,Everett,5322640-53061041400,5322640,53061041400,32.6,5534,47.9417269181,-122.203880637,38
WA,Renton,5357745-53033025803,5357745,53033025803,28.0,4676,47.4503896809,-122.178457056,39
WA,Seattle,5363000-53033001400,5363000,53033001400,23.3,4848,47.7067275502,-122.366496857,16
WA,Tacoma,5370000-53053062802,5370000,53053062802,29.9,4097,47.1939936737,-122.496412414,42
WA,Auburn,5303180-53033031202,5303180,53033031202,25.5,1128,47.2791184551,-122.155070317,15
WA,Seattle,5363000-53033010402,5363000,53033010402,18.5,4669,47.5537877711,-122.310225765,48
WA,Spokane,5367000-53063002500,5367000,53063002500,26.8,8679,47.6717888713,-117.400191522,85
WA,Spokane Valley,5367167-53063012000,5367167,53063012000,31.6,3973,47.6658472901,-117.271911536,44
WA,Seattle,5363000-53033008500,5363000,53033008500,30.3,4341,47.6051125357,-122.324946395,96
WA,Seattle,5363000-53033005200,5363000,53033005200,19.8,6076,47.6589661327,-122.3230895,86
WA,Spokane Valley,5367167-53063012901,5367167,53063012901,33.9,2994,47.6645733026,-117.208769317,40
WA,Spokane,5367000-53063000300,5367000,53063000300,37.2,5408,47.7078416216,-117.387014933,43
WA,Spokane,5367000-53063001600,5367000,53063001600,35.8,3738,47.692321988,-117.371213698,75
WA,Tacoma,5370000-53053940001,5370000,53053940001,26.4,773,47.3026458556,-122.404407882,8
WA,Yakima,5380010-53077002900,5380010,53077002900,33.3,90,46.6134286531,-120.598333706,0
WA,Seattle,5363000-53033002500,5363000,53033002500,20.0,2802,47.6838971641,-122.302279208,68
WA,Spokane,5367000-53063013500,5367000,53063013500,28.9,2488,47.5976468172,-117.423278868,2
WA,Tacoma,5370000-53053072309,5370000,53053072309,25.3,1502,47.2387862637,-122.555011718,33
WA,Seattle,5363000-53033007900,5363000,53033007900,23.1,5147,47.614386595,-122.307672193,94
WA,Bellingham,5305280-53073000805,5305280,53073000805,26.2,1587,48.749693985,-122.421041841,24
WA,Bellingham,5305280-53073001201,5305280,53073001201,24.4,6489,48.7219186248,-122.483114265,31
WA,Tacoma,5370000-53053071601,5370000,53053071601,31.6,59,47.1880792309,-122.411615483,57
WA,Auburn,5303180-53033031206,5303180,53033031206,24.8,4877,47.3140061556,-122.183980137,11
WA,Bellingham,5305280-53073000902,5305280,53073000902,23.0,3720,48.7114531436,-122.45486374,9
WA,Seattle,5363000-53033007600,5363000,53033007600,22.1,3498,47.6218678085,-122.307585803,92
WA,Seattle,5363000-53033005700,5363000,53033005700,20.6,6001,47.6602922378,-122.413941948,15
