StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Population2010,Lat,Lon
TX,Houston,4835000-48201451401,4835000,48201451401,25.5,3330,29.7503672036,-95.6123667479
NY,New York,3651000-36085017010,3651000,36085017010,26.3,8583,40.5510992370,-74.1960466860
NY,Syracuse,3673000-36067005601,3673000,36067005601,23.1,1473,43.0243622365,-76.1212204101
UT,Sandy,4967440-49035112613,4967440,49035112613,23.7,4164,40.5701092715,-111.8446805760
CA,Los Angeles,0644000-06037190902,644000,6037190902,30.2,3960,34.0943950467,-118.3190130300
IL,Chicago,1714000-17031252201,1714000,17031252201,44.4,2953,41.8766958643,-87.7521051133
TX,Garland,4829000-48113018138,4829000,48113018138,30.6,4076,32.8508972125,-96.5820805104
NY,New York,3651000-36005021301,3651000,36005021301,39.7,1201,40.8455082145,-73.9197793032
NJ,Camden,3410000-34007610400,3410000,34007610400,43.4,5573,39.9412706178,-75.1190591340
NY,New York,3651000-36005001900,3651000,36005001900,37.4,1917,40.8012425656,-73.9095876660
OH,Parma,3961000-39035177404,3961000,39035177404,29.2,2875,41.3897449179,-81.7394479009
AZ,Tucson,0477000-04019004053,477000,4019004053,22.2,326,32.2603950321,-110.8095857290
MI,Detroit,2622000-26163508000,2622000,26163508000,48.6,1343,42.4392204483,-83.1132638307
CA,Stockton,0675000-06077003305,675000,6077003305,26.2,3704,38.0019053412,-121.3072650930
PA,Reading,4263624-42011002900,4263624,42011002900,28.9,3094,40.3132828773,-75.9281309689
MI,Warren,2684000-26099262200,2684000,26099262200,31.8,4493,42.4984987391,-83.0565629553
IL,Chicago,1714000-17031670700,1714000,17031670700,45.4,1491,41.7830686194,-87.6667314612
UT,Provo,4962470-49049001402,4962470,49049001402,24.1,6590,40.2585253423,-111.6700220960
FL,Miami Beach,1245025-12086004304,1245025,12086004304,24.4,2327,25.7846576802,-80.1384431092
UT,Sandy,4967440-49035112700,4967440,49035112700,27.1,4821,40.5891248360,-111.8811890470
TN,Nashville,4752006-47037015100,4752006,47037015100,28.2,4026,36.1562850243,-86.6793913918
AR,Springdale,0566080-05143010403,566080,5143010403,36,5932,36.1569775413,-94.1537603213
MS,Jackson,2836000-28049010203,2836000,28049010203,45.4,2892,32.3777863053,-90.2193404986
TX,Mesquite,4847892-48113012500,4847892,48113012500,33.4,77,32.8319485267,-96.6579151600
NY,New York,3651000-36047041600,3651000,36047041600,23.5,2324,40.6024112304,-73.9634863894
CA,Corona,0616350-06065048200,616350,6065048200,24.7,4301,33.8889347910,-117.5407372790
NY,New York,3651000-36047006800,3651000,36047006800,24.5,4870,40.6351749121,-74.0262304314
NY,New York,3651000-36047005800,3651000,36047005800,22.2,3152,40.6190887413,-74.0321884634
MI,Detroit,2622000-26163522000,2622000,26163522000,49.9,2061,42.3435757117,-83.0875893354
LA,Lafayette,2240735-22055001904,2240735,22055001904,31,4064,30.1965012966,-92.0818885855
NY,New York,3651000-36061012000,3651000,36061012000,15.9,3971,40.7669264042,-73.9647672517
CO,Fort Collins,0827425-08069000201,827425,8069000201,19.1,2461,40.5821488591,-105.0896763780
SC,Charleston,4513330-45019005200,4513330,45019005200,20.6,3999,32.7980426023,-79.9625768144
MI,Detroit,2622000-26163535300,2622000,26163535300,46,4028,42.3727251547,-83.1899688378
CO,Pueblo,0862000-08101001100,862000,8101001100,37.2,2834,38.2731637880,-104.5762486280
VA,Alexandria,5101000-51510200201,5101000,51510200201,21.1,3571,38.8272323814,-77.0986800903
GA,Atlanta,1304000-13121010002,1304000,13121010002,18.7,6027,33.8651822071,-84.3582166817
NY,New York,3651000-36005022404,3651000,36005022404,30.8,4509,40.8527445358,-73.8663008888
MA,Boston,2507000-25025050600,2507000,25025050600,30.9,2063,42.3718877570,-71.0372695279
NV,Reno,3260600-32031002410,3260600,32031002410,20,3949,39.5211024316,-119.8911225930
TX,Dallas,4819000-48113004800,4819000,48113004800,38.5,3205,32.7436770264,-96.8175497693
NY,New York,3651000-36061027100,3651000,36061027100,25,8196,40.8519392402,-73.9342904841
TX,Fort Worth,4827000-48439105800,4827000,48439105800,37.5,4322,32.6653854380,-97.3427868083
NY,New York,3651000-36005026602,3651000,36005026602,28.1,5301,40.8459921061,-73.8306464784
TN,Memphis,4748000-47157007900,4748000,47157007900,44.8,5528,35.1013344538,-89.9594977525
CA,Los Angeles,0644000-06037211122,644000,6037211122,24.8,3075,34.0726793937,-118.2892234190
TX,Laredo,4841464-48479001722,4841464,48479001722,29,6378,27.5869991484,-99.4587128486
AK,Anchorage,0203000-02020000102,203000,2020000102,27.6,5259,61.3402115845,-149.3810923950
TX,Longview,4843888-48203020606,4843888,48203020606,29.5,1718,32.5136029058,-94.6902550502
TX,Amarillo,4803000-48375010300,4803000,48375010300,34.4,1251,35.1879352553,-101.8743670320
WA,Seattle,5363000-53033006300,5363000,53033006300,19.5,4962,47.6362045960,-122.2758853930
AK,Anchorage,0203000-02020002822,203000,2020002822,26.2,4020,61.0948192807,-149.7823059670
CO,Loveland,0846465-08069002007,846465,8069002007,21.6,3054,40.3897111471,-105.0835337650
TX,Houston,4835000-48201411700,4835000,48201411700,22.9,2774,29.7254849938,-95.4543553901
CA,San Francisco,0667000-06075010700,667000,6075010700,14.8,5592,37.7985139858,-122.4100466460
NY,New York,3651000-36005020601,3651000,36005020601,28.9,3050,40.8366232687,-73.8505250785
OH,Columbus,3918000-39049000810,3918000,39049000810,37.8,2540,40.0265433635,-82.9761993151
HI,Honolulu,15003006202,15003,15003006202,44.7,1701,21.3388523084,-157.8754651560
MD,Baltimore,2404000-24510140100,2404000,24510140100,24.4,4974,39.3077439774,-76.6256565781
TN,Memphis,4748000-47157000800,4748000,47157000800,47.8,2684,35.1781691415,-89.9729093219
IL,Chicago,1714000-17031838100,1714000,17031838100,30.2,1713,41.8786652126,-87.6716805484
NY,New York,3651000-36081048400,3651000,36081048400,25.4,4979,40.7158124999,-73.7599617376
TX,College Station,4815976-48041001302,4815976,48041001302,24,4028,30.6322258669,-96.3136454959
CA,Los Angeles,0644000-06037199110,644000,6037199110,29,2710,34.0793616083,-118.1974039080
IL,Chicago,1714000-17031080201,1714000,17031080201,22.1,3287,41.9094984454,-87.6310054321
GA,Albany,1301052-13095000502,1301052,13095000502,27.3,4151,31.5949955544,-84.2063318482
FL,West Palm Beach,1276600-12099001904,1276600,12099001904,26.8,2999,26.7547529987,-80.0995952631
NY,Syracuse,3673000-36067001800,3673000,36067001800,28.7,2682,43.0622759730,-76.1098792183
CA,Chula Vista,0613392-06073012900,613392,6073012900,25.2,3374,32.6274203123,-117.0676039020
MO,St. Joseph,2964550-29021001200,2964550,29021001200,37.6,2065,39.7714147025,-94.8521432975
TN,Nashville,4752006-47037018201,4752006,47037018201,22.6,2958,36.1153457153,-86.8913814952
AZ,Tucson,0477000-04019000500,477000,4019000500,19.8,9289,32.2300551996,-110.9526248820
CO,Centennial,0812815-08005006711,812815,8005006711,19.2,3865,39.6021286306,-104.9132675600
NY,New York,3651000-36005037400,3651000,36005037400,40.4,3441,40.8745379903,-73.8666710851
