,State,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon,Walk Score
0,TX,Houston,4835000-48201451401,4835000,48201451401,25.5,29.7503672,-95.61236675,51
1,TX,Garland,4829000-48113018138,4829000,48113018138,30.6,32.85089721,-96.58208051,26
2,TX,Mesquite,4847892-48113012500,4847892,48113012500,33.4,32.83194853,-96.65791516,46
3,TX,Dallas,4819000-48113004800,4819000,48113004800,38.5,32.74367703,-96.81754977,85
4,TX,Fort Worth,4827000-48439105800,4827000,48439105800,37.5,32.66538544,-97.34278681,54
5,TX,Laredo,4841464-48479001722,4841464,48479001722,29.0,27.58699915,-99.45871285,16
6,TX,Longview,4843888-48203020606,4843888,48203020606,29.5,32.51360291,-94.69025505,1
7,TX,Amarillo,4803000-48375010300,4803000,48375010300,34.4,35.18793526,-101.874367,73
8,TX,Houston,4835000-48201411700,4835000,48201411700,22.9,29.72548499,-95.45435539,48
9,TX,College Station,4815976-48041001302,4815976,48041001302,24.0,30.63222587,-96.3136455,24
10,TX,McKinney,4845744-48085030530,4845744,48085030530,25.3,33.18606769,-96.68979061,2
11,TX,Austin,4805000-48453001818,4805000,48453001818,29.3,30.36020926,-97.7222085,65
12,TX,Houston,4835000-48201333600,4835000,48201333600,31.5,29.65904184,-95.300049,19
13,TX,Houston,4835000-48201313800,4835000,48201313800,47.4,29.68799252,-95.37261992,40
14,TX,Houston,4835000-48201521900,4835000,48201521900,27.4,29.82238803,-95.55441572,53
15,TX,San Antonio,4865000-48029121813,4865000,48029121813,30.9,29.59939256,-98.37334661,6
16,TX,Bryan,4810912-48041000102,4810912,48041000102,26.5,30.67007566,-96.29212721,3
17,TX,Houston,4835000-48201522402,4835000,48201522402,33.2,29.79852235,-95.55860182,34
18,TX,Abilene,4801000-48441013100,4801000,48441013100,38.0,32.4555701,-99.8094543,7
19,TX,Dallas,4819000-48113017900,4819000,48113017900,33.7,32.82345476,-96.65923099,28
20,TX,Frisco,4827684-48085030403,4827684,48085030403,27.6,33.16243311,-96.81205502,16
21,TX,Lewisville,4842508-48121021731,4842508,48121021731,25.9,33.01228798,-97.01267923,38
